Stock ,Day,Month,Year,Open,High,Low,Close
AMZN,1,August,2013,303.079987,306.209991,298.899994,305.570007
AMZN,2,August,2013,304.630005,305.329987,301.5,304.209991
AMZN,5,August,2013,303.399994,303.619995,298.299988,300.98999
AMZN,6,August,2013,300.51001,301.359985,297.519989,300.75
AMZN,7,August,2013,300.149994,300.98999,296.149994,296.910004
AMZN,8,August,2013,298.519989,298.519989,292.549988,295.73999
AMZN,9,August,2013,295.679993,299.269989,294.299988,297.26001
AMZN,12,August,2013,295.790009,299.079987,295.26001,296.690002
AMZN,13,August,2013,295.880005,296.369995,290.670013,293.970001
AMZN,14,August,2013,NaN,NaN,NaN,NaN
AMZN,15,August,2013,288.790009,289.299988,285.149994,286.470001
AMZN,16,August,2013,286.549988,288.329987,284.5,284.820007
AMZN,19,August,2013,285.190002,289.559998,283.480011,285.570007
AMZN,20,August,2013,285.880005,289.51001,285.73999,287.089996
AMZN,21,August,2013,285.089996,288.5,283.829987,284.570007
AMZN,22,August,2013,284.799988,289.869995,284.799988,289.730011
AMZN,23,August,2013,291.209991,291.5,287.899994,290.01001
AMZN,26,August,2013,290.429993,291.049988,285.619995,286.209991
AMZN,27,August,2013,283.869995,285.279999,279.73999,280.929993
AMZN,28,August,2013,280.359985,283,279.329987,281.579987
AMZN,29,August,2013,281.450012,285.980011,280,283.980011
AMZN,30,August,2013,284.589996,284.869995,280,280.980011
AMZN,3,September,2013,284.730011,291.390015,284.170013,288.799988
AMZN,4,September,2013,288.329987,295.230011,287.579987,293.640015
AMZN,5,September,2013,293.630005,297,292.709991,294.100006
AMZN,6,September,2013,295.329987,298.880005,290.799988,295.859985
AMZN,9,September,2013,297.220001,299.959991,296.600006,299.709991
AMZN,10,September,2013,300.549988,301,297.220001,300.359985
AMZN,11,September,2013,298.910004,301.859985,297.839996,299.640015
AMZN,12,September,2013,299.390015,302,297.660004,298.859985
AMZN,13,September,2013,300.140015,300.220001,296.200012,297.920013
AMZN,16,September,2013,299.820007,301,295.26001,296.059998
AMZN,17,September,2013,NaN,NaN,NaN,NaN
AMZN,18,September,2013,304.059998,312.73999,302.910004,312.029999
AMZN,19,September,2013,313.769989,314.540009,311.040009,312.059998
AMZN,20,September,2013,312.540009,320.570007,312.410004,316.339996
AMZN,23,September,2013,314.01001,315.899994,308.769989,311.48999
AMZN,24,September,2013,312.429993,318.079987,311.279999,314.130005
AMZN,25,September,2013,NaN,NaN,NaN,NaN
AMZN,26,September,2013,313.899994,319.369995,313.26001,318.119995
AMZN,27,September,2013,316.920013,317.209991,313.350006,316.01001
AMZN,30,September,2013,313.410004,315.309998,311.059998,312.640015
AMZN,1,October,2013,314.220001,321,313.649994,320.950012
AMZN,2,October,2013,318.040009,321.730011,317.519989,320.51001
AMZN,3,October,2013,320.390015,322.920013,313.019989,314.76001
AMZN,4,October,2013,315.130005,319.200012,312.619995,319.040009
AMZN,7,October,2013,315.23999,315.339996,309.73999,310.029999
AMZN,8,October,2013,311.5,311.549988,300.269989,303.230011
AMZN,9,October,2013,303.420013,303.5,296.5,298.230011
AMZN,10,October,2013,304.630005,306.700012,302.589996,305.170013
AMZN,11,October,2013,304.769989,310.929993,303.839996,310.890015
AMZN,14,October,2013,309.220001,311.649994,307,310.700012
